checkingstatus,duration,history,purpose,amount,savings,employ,installment,status,others,residence,property,age,otherplans,housing,cards,job,liable,telephone,foreign,outcome,id
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,983,.. >= 1000 DM,... < 1 year,1,female : divorced/separated/married,others - none,4,real estate,<= 25 years,none,rent,1,unskilled - resident,1,phone - none,foreign - yes,1,13
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,6361,... < 100 DM,.. >= 7 years,2,male : single,others - none,1,unknown / no property,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,14
no checking account,21,critical account/ other credits existing (not at this bank),furniture/equipment,2288,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,<= 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,15
0 <= ... < 200 DM,42,critical account/ other credits existing (not at this bank),business,5954,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,others - none,1,real estate,> 25 years,bank,own,2,unskilled - resident,1,phone - none,foreign - yes,1,16
no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,... < 100 DM,1 <= ... < 4 years,3,male : single,others - none,4,real estate,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,17
no checking account,11,existing credits paid back duly till now,business,2142,.. >= 1000 DM,.. >= 7 years,1,male : divorced/separated,others - none,2,real estate,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,18
0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),radio/television,1154,... < 100 DM,.. >= 7 years,2,male : single,others - none,4,real estate,> 25 years,none,own,3,unskilled - resident,1,phone - none,foreign - yes,1,19
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,2039,... < 100 DM,... < 1 year,1,male : married/widowed,others - none,1,building society savings agreement/ life insurance,<= 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2,20
no checking account,30,all credits at this bank paid back duly,car (used),7485,unknown/ no savings account,unemployed,4,female : divorced/separated/married,others - none,1,real estate,> 25 years,bank,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,2,21
0 <= ... < 200 DM,18,delay in paying off in the past,business,2427,unknown/ no savings account,.. >= 7 years,4,male : single,others - none,2,building society savings agreement/ life insurance,> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1,22
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),car (new),3878,100 <= ... < 500 DM,... < 1 year,4,male : divorced/separated,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,23
... < 0 DM,24,existing credits paid back duly till now,car (used),2812,unknown/ no savings account,.. >= 7 years,2,female : divorced/separated/married,others - none,4,real estate,> 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,1,24
0 <= ... < 200 DM,60,all credits at this bank paid back duly,purpose - others,14782,100 <= ... < 500 DM,.. >= 7 years,3,female : divorced/separated/married,others - none,4,unknown / no property,> 25 years,bank,for free,2,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,2,25
... < 0 DM,12,existing credits paid back duly till now,radio/television,674,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : married/widowed,others - none,1,building society savings agreement/ life insurance,<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,2,26
... < 0 DM,24,existing credits paid back duly till now,car (new),1371,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,4,real estate,<= 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,2,27
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),12976,... < 100 DM,unemployed,3,female : divorced/separated/married,others - none,4,unknown / no property,> 25 years,none,for free,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,2,28
... < 0 DM,18,no credits taken/ all credits paid back duly,business,3104,... < 100 DM,4 <= ... < 7 years,3,male : single,others - none,1,building society savings agreement/ life insurance,> 25 years,bank,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,29
... < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,5371,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,building society savings agreement/ life insurance,> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1,30
... < 0 DM,20,existing credits paid back duly till now,furniture/equipment,2212,unknown/ no savings account,4 <= ... < 7 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,31
no checking account,10,existing credits paid back duly till now,education,727,500 <= ... < 1000 DM,.. >= 7 years,4,male : single,others - none,4,unknown / no property,> 25 years,none,for free,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,32
0 <= ... < 200 DM,8,existing credits paid back duly till now,furniture/equipment,1237,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,others - none,4,real estate,<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,2,33
... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,2406,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,others - none,4,real estate,<= 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,2,34
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1206,... < 100 DM,.. >= 7 years,4,female : divorced/separated/married,others - none,4,real estate,<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1,35
no checking account,12,critical account/ other credits existing (not at this bank),education,2012,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1,36
0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),276,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,others - none,4,real estate,<= 25 years,none,rent,1,unskilled - resident,1,phone - none,foreign - yes,1,37
... < 0 DM,15,existing credits paid back duly till now,furniture/equipment,1845,... < 100 DM,... < 1 year,4,female : divorced/separated/married,guarantor,1,building society savings agreement/ life insurance,> 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,1,38
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,930,unknown/ no savings account,.. >= 7 years,4,male : single,others - none,4,real estate,> 25 years,none,own,4,skilled employee / official,1,phone - none,foreign - yes,1,39
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1295,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,1,building society savings agreement/ life insurance,> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1,40
no checking account,9,critical account/ other credits existing (not at this bank),education,1244,unknown/ no savings account,.. >= 7 years,4,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,> 25 years,none,rent,2,unskilled - resident,1,phone - none,foreign - yes,1,41
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1860,... < 100 DM,unemployed,4,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,2,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1,42
... < 0 DM,12,existing credits paid back duly till now,car (new),900,unknown/ no savings account,1 <= ... < 4 years,4,male : married/widowed,others - none,2,"car or other, not in attribute 6",<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,2,43
... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2122,... < 100 DM,1 <= ... < 4 years,3,male : single,others - none,2,real estate,> 25 years,none,rent,2,unskilled - resident,2,phone - none,foreign - no,1,44
... < 0 DM,48,existing credits paid back duly till now,car (new),3931,... < 100 DM,4 <= ... < 7 years,4,male : single,others - none,4,unknown / no property,> 25 years,none,for free,1,skilled employee / official,2,phone - none,foreign - yes,2,45
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),884,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,bank,own,1,skilled employee / official,2,"phone - yes, registered under the customers name",foreign - yes,2,46
no checking account,21,no credits taken/ all credits paid back duly,car (new),5003,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,> 25 years,bank,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2,47
... >= 200 DM / salary assignments for at least 1 year,30,critical account/ other credits existing (not at this bank),radio/television,3656,unknown/ no savings account,.. >= 7 years,4,male : single,others - none,4,building society savings agreement/ life insurance,> 25 years,stores,own,2,unskilled - resident,1,phone - none,foreign - yes,1,48
no checking account,6,existing credits paid back duly till now,radio/television,1595,... < 100 DM,4 <= ... < 7 years,3,male : single,others - none,2,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,2,phone - none,foreign - yes,1,49
0 <= ... < 200 DM,24,all credits at this bank paid back duly,education,1837,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,others - none,4,unknown / no property,> 25 years,bank,for free,1,unskilled - resident,1,phone - none,foreign - yes,2,50
no checking account,15,existing credits paid back duly till now,education,4623,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,others - none,2,building society savings agreement/ life insurance,> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,2,51
no checking account,12,existing credits paid back duly till now,furniture/equipment,763,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,1,real estate,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,52
no checking account,18,critical account/ other credits existing (not at this bank),car (used),3850,... < 100 DM,4 <= ... < 7 years,3,male : single,others - none,1,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1,53
no checking account,22,existing credits paid back duly till now,car (new),1283,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,<= 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,1,54
... < 0 DM,30,critical account/ other credits existing (not at this bank),car (used),6187,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : married/widowed,others - none,4,"car or other, not in attribute 6",<= 25 years,none,rent,2,skilled employee / official,1,phone - none,foreign - yes,1,55
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1201,... < 100 DM,... < 1 year,4,male : single,others - none,1,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1,56
... < 0 DM,9,critical account/ other credits existing (not at this bank),car (new),2799,... < 100 DM,1 <= ... < 4 years,2,male : single,others - none,2,real estate,> 25 years,none,rent,2,skilled employee / official,2,phone - none,foreign - yes,1,57
no checking account,9,existing credits paid back duly till now,car (new),2507,500 <= ... < 1000 DM,.. >= 7 years,2,male : single,others - none,4,unknown / no property,> 25 years,none,for free,1,unskilled - resident,1,phone - none,foreign - yes,1,58
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,... < 100 DM,4 <= ... < 7 years,3,male : divorced/separated,others - none,3,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2,59
no checking account,9,existing credits paid back duly till now,radio/television,2753,100 <= ... < 500 DM,.. >= 7 years,3,male : single,co-applicant,4,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,60
no checking account,15,existing credits paid back duly till now,radio/television,3568,... < 100 DM,.. >= 7 years,4,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",> 25 years,bank,rent,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1,61
... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,2,62
no checking account,33,critical account/ other credits existing (not at this bank),car (used),7253,... < 100 DM,4 <= ... < 7 years,3,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,2,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1,63
no checking account,33,delay in paying off in the past,business,2764,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,64
no checking account,6,existing credits paid back duly till now,furniture/equipment,2978,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,65
no checking account,24,existing credits paid back duly till now,business,1258,... < 100 DM,4 <= ... < 7 years,4,male : single,others - none,1,real estate,<= 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,66
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1740,... < 100 DM,.. >= 7 years,2,male : married/widowed,others - none,2,real estate,> 25 years,none,rent,2,skilled employee / official,1,phone - none,foreign - yes,1,67
no checking account,24,critical account/ other credits existing (not at this bank),business,4526,... < 100 DM,1 <= ... < 4 years,3,male : single,others - none,2,real estate,> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1,68
no checking account,18,existing credits paid back duly till now,furniture/equipment,3422,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,building society savings agreement/ life insurance,> 25 years,bank,own,3,skilled employee / official,2,"phone - yes, registered under the customers name",foreign - yes,1,69
... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,4,real estate,<= 25 years,none,rent,1,unskilled - resident,1,"phone - yes, registered under the customers name",foreign - yes,2,70
... < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,1478,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,2,"phone - yes, registered under the customers name",foreign - yes,1,71
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),domestic appliances,1424,... < 100 DM,4 <= ... < 7 years,4,male : single,others - none,3,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1,72
... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2473,... < 100 DM,unemployed,4,male : single,others - none,1,"car or other, not in attribute 6",<= 25 years,none,own,1,unemployed/ unskilled - non-resident,1,phone - none,foreign - yes,2,73
... < 0 DM,6,existing credits paid back duly till now,car (new),14896,... < 100 DM,.. >= 7 years,1,male : single,others - none,4,unknown / no property,> 25 years,bank,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,2,74
no checking account,30,existing credits paid back duly till now,radio/television,1867,unknown/ no savings account,.. >= 7 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,75
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),2366,500 <= ... < 1000 DM,4 <= ... < 7 years,3,male : divorced/separated,others - none,3,"car or other, not in attribute 6",> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1,76
no checking account,48,critical account/ other credits existing (not at this bank),education,6110,... < 100 DM,1 <= ... < 4 years,1,male : single,others - none,3,unknown / no property,> 25 years,bank,for free,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,77
... < 0 DM,12,existing credits paid back duly till now,car (new),2579,... < 100 DM,... < 1 year,4,male : single,others - none,1,real estate,> 25 years,none,own,1,unskilled - resident,2,phone - none,foreign - yes,2,78
no checking account,21,existing credits paid back duly till now,car (used),2476,unknown/ no savings account,.. >= 7 years,4,male : single,others - none,4,real estate,> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1,79
0 <= ... < 200 DM,36,existing credits paid back duly till now,repairs,2384,... < 100 DM,... < 1 year,4,male : single,others - none,1,unknown / no property,> 25 years,none,rent,1,unskilled - resident,1,phone - none,foreign - yes,2,80
... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2171,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,4,building society savings agreement/ life insurance,> 25 years,bank,own,2,unskilled - resident,1,phone - none,foreign - no,1,81
... < 0 DM,8,critical account/ other credits existing (not at this bank),purpose - others,1164,... < 100 DM,.. >= 7 years,3,male : single,others - none,4,unknown / no property,> 25 years,bank,for free,2,management/ self-employed/highly qualified employee/ officer,2,"phone - yes, registered under the customers name",foreign - yes,1,82
... < 0 DM,24,existing credits paid back duly till now,radio/television,2439,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,4,real estate,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2,83
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,3612,... < 100 DM,.. >= 7 years,3,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,84
0 <= ... < 200 DM,24,delay in paying off in the past,business,4712,unknown/ no savings account,1 <= ... < 4 years,4,male : single,others - none,2,building society savings agreement/ life insurance,> 25 years,bank,own,2,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1,85
no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/ no savings account,.. >= 7 years,4,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1,86
no checking account,24,existing credits paid back duly till now,radio/television,1552,... < 100 DM,4 <= ... < 7 years,3,male : single,others - none,1,"car or other, not in attribute 6",> 25 years,bank,own,1,skilled employee / official,2,phone - none,foreign - yes,1,87
... < 0 DM,36,all credits at this bank paid back duly,furniture/equipment,2746,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,bank,own,1,skilled employee / official,1,phone - none,foreign - yes,2,88
no checking account,39,existing credits paid back duly till now,car (used),2569,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,others - none,4,"car or other, not in attribute 6",<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1,89
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1934,... < 100 DM,.. >= 7 years,2,male : single,others - none,2,unknown / no property,> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1,90
no checking account,36,delay in paying off in the past,car (used),8947,unknown/ no savings account,4 <= ... < 7 years,3,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,stores,own,1,management/ self-employed/highly qualified employee/ officer,2,"phone - yes, registered under the customers name",foreign - yes,1,91
no checking account,21,existing credits paid back duly till now,furniture/equipment,2241,... < 100 DM,.. >= 7 years,4,male : single,others - none,2,real estate,> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1,92
no checking account,12,existing credits paid back duly till now,radio/television,1493,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,3,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,2,phone - none,foreign - yes,1,93
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,882,... < 100 DM,... < 1 year,4,male : single,guarantor,4,real estate,<= 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1,94
0 <= ... < 200 DM,27,existing credits paid back duly till now,business,2528,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,1,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,2,"phone - yes, registered under the customers name",foreign - yes,1,95
... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,5848,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,1,"car or other, not in attribute 6",<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1,96
no checking account,24,critical account/ other credits existing (not at this bank),car (used),6842,unknown/ no savings account,1 <= ... < 4 years,2,male : single,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,2,management/ self-employed/highly qualified employee/ officer,2,"phone - yes, registered under the customers name",foreign - yes,1,97
... < 0 DM,12,existing credits paid back duly till now,radio/television,1107,... < 100 DM,1 <= ... < 4 years,2,male : single,others - none,2,real estate,<= 25 years,none,rent,1,management/ self-employed/highly qualified employee/ officer,2,"phone - yes, registered under the customers name",foreign - yes,1,98
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,625,... < 100 DM,... < 1 year,4,male : married/widowed,guarantor,1,real estate,> 25 years,bank,own,1,unskilled - resident,1,phone - none,foreign - yes,1,99
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,4736,... < 100 DM,... < 1 year,2,female : divorced/separated/married,others - none,4,"car or other, not in attribute 6",<= 25 years,bank,own,1,unskilled - resident,1,phone - none,foreign - yes,2,100
no checking account,4,critical account/ other credits existing (not at this bank),car (new),3380,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,others - none,1,real estate,> 25 years,none,own,1,skilled employee / official,2,phone - none,foreign - yes,1,101
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),685,... < 100 DM,4 <= ... < 7 years,2,male : married/widowed,others - none,3,"car or other, not in attribute 6",<= 25 years,bank,own,1,unskilled - resident,1,phone - none,foreign - yes,2,102
0 <= ... < 200 DM,48,all credits at this bank paid back duly,business,3566,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1,103
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1360,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,2,building society savings agreement/ life insurance,> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1,104
no checking account,15,existing credits paid back duly till now,car (new),3186,.. >= 1000 DM,4 <= ... < 7 years,2,female : divorced/separated/married,others - none,3,"car or other, not in attribute 6",<= 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,1,105
... < 0 DM,12,all credits at this bank paid back duly,car (new),697,... < 100 DM,... < 1 year,4,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,bank,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2,106
no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1544,... < 100 DM,4 <= ... < 7 years,2,male : single,others - none,1,real estate,> 25 years,none,own,3,unskilled - resident,2,phone - none,foreign - yes,1,107
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1928,... < 100 DM,... < 1 year,2,male : single,others - none,2,real estate,> 25 years,none,own,2,unskilled - resident,1,phone - none,foreign - yes,2,108
0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),education,1501,... < 100 DM,.. >= 7 years,2,female : divorced/separated/married,others - none,3,"car or other, not in attribute 6",> 25 years,none,own,2,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,2,109
... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),860,... < 100 DM,.. >= 7 years,1,female : divorced/separated/married,others - none,4,unknown / no property,> 25 years,none,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1,110
... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,3959,... < 100 DM,unemployed,4,male : single,others - none,3,building society savings agreement/ life insurance,> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1,111
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),radio/television,3573,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,others - none,1,real estate,<= 25 years,none,own,1,unskilled - resident,1,phone - none,foreign - yes,1,112
0 <= ... < 200 DM,15,existing credits paid back duly till now,radio/television,1444,unknown/ no savings account,... < 1 year,4,male : single,others - none,1,building society savings agreement/ life insurance,<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1,113
no checking account,6,critical account/ other credits existing (not at this bank),car (new),2080,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male : married/widowed,others - none,2,"car or other, not in attribute 6",<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1,114
